Sphere Nr  | Timestamp    | RTT           
1          | 51.8125      | 0.458         
1          | 62.78125     | 0.319         
2          | 63.53125     | 0.195         
3          | 63.53125     | 0.195         
4          | 64.71875     | 0.222         
1          | 73.25        | 0.542         
2          | 73.46875     | 0.485         
1          | 76.1875      | 0.278         
2          | 76.25        | 0.208         
3          | 76.90625     | 0.499         
4          | 77.15625     | 0.416         
1          | 82.75        | 0.458         
2          | 83.03125     | 0.375         
3          | 83.40625     | 0.444         
4          | 83.59375     | 0.430         
1          | 94.59375     | 0.375         
2          | 94.59375     | 0.375         
3          | 94.59375     | 0.375         
1          | 96.90625     | 0.319         
1          | 107.4688     | 0.556         
1          | 109.3438     | 0.361         
1          | 122.3438     | 0.305         
2          | 122.8438     | 0.471         
1          | 125          | 0.208         
2          | 125.375      | 0.389         
3          | 125.7188     | 0.361         
4          | 125.9375     | 0.333         
5          | 126.2813     | 0.417         
6          | 126.5        | 0.389         
1          | 139.7813     | 0.403         
1          | 145.125      | 0.166         
1          | 179.5938     | 0.347         
2          | 179.9688     | 0.320         
3          | 180.9688     | 0.430         
4          | 180.9688     | 0.430         
5          | 180.9688     | 0.430         
